class,size
com.dexvis.dex.task.input.JarInspector$_execute_closure1$_closure3,4573
com.dexvis.dex.task.input.JarInspector$_execute_closure1,4158
com.dexvis.dex.task.input.JarInspector$_execute_closure2$_closure5$_closure6,3907
com.dexvis.dex.task.input.JarInspector$_execute_closure2$_closure5,4351
com.dexvis.dex.task.input.JarInspector$_execute_closure2,3198
com.dexvis.dex.task.input.JarInspector,11243
com.dexvis.dex.task.input.MultiFileInput$_execute_closure1$_closure2,2271
com.dexvis.dex.task.input.MultiFileInput$_execute_closure1$_closure3,3318
com.dexvis.dex.task.input.MultiFileInput$_execute_closure1,3609
com.dexvis.dex.task.input.MultiFileInput,8144
com.dexvis.dex.task.input.ReadCsv$_execute_closure1,2100
com.dexvis.dex.task.input.ReadCsv$_execute_closure2,2100
com.dexvis.dex.task.input.ReadCsv$_getConfig_closure3,2473
com.dexvis.dex.task.input.ReadCsv,10875
com.dexvis.dex.task.input.TextInput$_execute_closure1,3192
com.dexvis.dex.task.input.TextInput,8007
com.dexvis.dex.task.output.GroovyOutputTemplate,13208
com.dexvis.dex.task.output.WriteCsv$_execute_closure1$_closure3,2133
com.dexvis.dex.task.output.WriteCsv$_execute_closure1$_closure4$_closure5,2222
com.dexvis.dex.task.output.WriteCsv$_execute_closure1$_closure4,3444
com.dexvis.dex.task.output.WriteCsv$_execute_closure1,3220
com.dexvis.dex.task.output.WriteCsv$_getConfig_closure2,2486
com.dexvis.dex.task.output.WriteCsv,8509
com.dexvis.dex.task.prg.GroovyScript$_execute_closure1$_closure5,3116
com.dexvis.dex.task.prg.GroovyScript$_execute_closure1,3013
com.dexvis.dex.task.prg.GroovyScript$_execute_closure2,2307
com.dexvis.dex.task.prg.GroovyScript$_execute_closure3$_closure6,3042
com.dexvis.dex.task.prg.GroovyScript$_execute_closure3$_closure7,2704
com.dexvis.dex.task.prg.GroovyScript$_execute_closure3,5113
com.dexvis.dex.task.prg.GroovyScript$_execute_closure4$_closure8,4028
com.dexvis.dex.task.prg.GroovyScript$_execute_closure4,3741
com.dexvis.dex.task.prg.GroovyScript,12759
com.dexvis.dex.task.prg.JavaScript,11095
com.dexvis.dex.task.prg.JythonScript$_execute_closure1,2798
com.dexvis.dex.task.prg.JythonScript$_execute_closure2$_closure3,2685
com.dexvis.dex.task.prg.JythonScript$_execute_closure2,3130
com.dexvis.dex.task.prg.JythonScript,11147
com.dexvis.dex.task.prg.P5Script,10260
com.dexvis.dex.task.prg.RScript$_execute_closure1,3968
com.dexvis.dex.task.prg.RScript,13040
com.dexvis.dex.task.prg.TMIScript,10626
com.dexvis.dex.task.tablemanipulation.AddColumn,6547
com.dexvis.dex.task.tablemanipulation.AddRowNumber,1451
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_deselectAll_closure7,2409
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_execute_closure2,2812
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_execute_closure3,3806
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_execute_closure4,4029
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_execute_closure5$_closure8,3541
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_execute_closure5,3541
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_initialize_closure1,2821
com.dexvis.dex.task.tablemanipulation.ColumnFilter$_selectAll_closure6,2403
com.dexvis.dex.task.tablemanipulation.ColumnFilter,12411
com.dexvis.dex.task.tablemanipulation.GroupColumns$1,4850
com.dexvis.dex.task.tablemanipulation.GroupColumns$_getConfig_closure1,2456
com.dexvis.dex.task.tablemanipulation.GroupColumns,11890
com.dexvis.dex.task.tablemanipulation.ReplaceAll$_execute_closure1,2770
com.dexvis.dex.task.tablemanipulation.ReplaceAll$_execute_closure2$_closure3,2726
com.dexvis.dex.task.tablemanipulation.ReplaceAll$_execute_closure2,2878
