county,technology,columns,category,ballots
DeSoto,Datavote,2,Phillips,8
DeSoto,Datavote,2,Moorehead,2
DeSoto,Datavote,2,Chote,3
DeSoto,Datavote,2,McCarthy,3
Dixie,Datavote,1,under,22
Dixie,Datavote,1,over,306
Dixie,Datavote,1,Bush,2697
Dixie,Datavote,1,Gore,1826
Dixie,Datavote,1,Browne,32
Dixie,Datavote,1,Nader,75
Dixie,Datavote,1,Harris,0
Dixie,Datavote,1,Hagelin,2
Dixie,Datavote,1,Buchanan,29
Dixie,Datavote,1,McReynolds,0
Dixie,Datavote,1,Phillips,3
Dixie,Datavote,1,Moorehead,2
Dixie,Datavote,1,Chote,0
Dixie,Datavote,1,McCarthy,0
Duval,Votomatic,2,under,5090
Duval,Votomatic,2,over,21855
Duval,Votomatic,2,Bush,152098
Duval,Votomatic,2,Gore,107864
Duval,Votomatic,2,Browne,952
Duval,Votomatic,2,Nader,2757
Duval,Votomatic,2,Harris,37
Duval,Votomatic,2,Hagelin,162
Duval,Votomatic,2,Buchanan,652
Duval,Votomatic,2,McReynolds,15
Duval,Votomatic,2,Phillips,58
Duval,Votomatic,2,Moorehead,41
Duval,Votomatic,2,Chote,0
Duval,Votomatic,2,McCarthy,0
Escambia,Optical,1,under,679
Escambia,Optical,1,over,3680
Escambia,Optical,1,Bush,73017
Escambia,Optical,1,Gore,40943
Escambia,Optical,1,Browne,296
Escambia,Optical,1,Nader,1727
Escambia,Optical,1,Harris,6
Escambia,Optical,1,Hagelin,24
Escambia,Optical,1,Buchanan,502
Escambia,Optical,1,McReynolds,3
Escambia,Optical,1,Phillips,110
Escambia,Optical,1,Moorehead,20
Escambia,Optical,1,Chote,0
Escambia,Optical,1,McCarthy,0
Flagler,Optical,1,under,60
Flagler,Optical,1,over,7
Flagler,Optical,1,Bush,12613
Flagler,Optical,1,Gore,13897
Flagler,Optical,1,Browne,60
Flagler,Optical,1,Nader,435
Flagler,Optical,1,Harris,1
Flagler,Optical,1,Hagelin,4
Flagler,Optical,1,Buchanan,83
Flagler,Optical,1,McReynolds,3
Flagler,Optical,1,Phillips,3
Flagler,Optical,1,Moorehead,12
Flagler,Optical,1,Chote,0
Flagler,Optical,1,McCarthy,0
Franklin,Optical,2,under,70
Franklin,Optical,2,over,350
Franklin,Optical,2,Bush,2454
Franklin,Optical,2,Gore,2046
Franklin,Optical,2,Browne,17
Franklin,Optical,2,Nader,85
Franklin,Optical,2,Harris,1
Franklin,Optical,2,Hagelin,3
Franklin,Optical,2,Buchanan,33
Franklin,Optical,2,McReynolds,0
Franklin,Optical,2,Phillips,3
Franklin,Optical,2,Moorehead,2
Franklin,Optical,2,Chote,0
Franklin,Optical,2,McCarthy,0
Gadsden,Optical,2,under,121
Gadsden,Optical,2,over,1946
Gadsden,Optical,2,Bush,4767
Gadsden,Optical,2,Gore,9735
Gadsden,Optical,2,Browne,24
Gadsden,Optical,2,Nader,139
Gadsden,Optical,2,Harris,3
Gadsden,Optical,2,Hagelin,4
Gadsden,Optical,2,Buchanan,38
Gadsden,Optical,2,McReynolds,4
Gadsden,Optical,2,Phillips,7
Gadsden,Optical,2,Moorehead,6
Gadsden,Optical,2,Chote,0
Gadsden,Optical,2,McCarthy,0
Gilchrist,Datavote,1,under,47
Gilchrist,Datavote,1,over,241
Gilchrist,Datavote,1,Bush,3300
Gilchrist,Datavote,1,Gore,1910
Gilchrist,Datavote,1,Browne,52
Gilchrist,Datavote,1,Nader,97
Gilchrist,Datavote,1,Harris,0
Gilchrist,Datavote,1,Hagelin,1
Gilchrist,Datavote,1,Buchanan,29
Gilchrist,Datavote,1,McReynolds,0
