id,id,,parent,value
flare,SizeEncoder,,encoder,1830
flare,filter,,operator,
flare,FisheyeTreeFilter,,filter,5219
flare,GraphDistanceFilter,,filter,3165
flare,VisibilityFilter,,filter,3509
flare,IOperator,,operator,1286
flare,label,,operator,
flare,Labeler,,label,9956
flare,RadialLabeler,,label,3899
flare,StackedAreaLabeler,,label,3202
flare,layout,,operator,
flare,AxisLayout,,layout,6725
flare,BundledEdgeRouter,,layout,3727
flare,CircleLayout,,layout,9317
flare,CirclePackingLayout,,layout,12003
flare,DendrogramLayout,,layout,4853
flare,ForceDirectedLayout,,layout,8411
flare,IcicleTreeLayout,,layout,4864
flare,IndentedTreeLayout,,layout,3174
flare,Layout,,layout,7881
flare,NodeLinkTreeLayout,,layout,12870
flare,PieLayout,,layout,2728
flare,RadialTreeLayout,,layout,12348
flare,RandomLayout,,layout,870
flare,StackedAreaLayout,,layout,9121
flare,TreeMapLayout,,layout,9191
flare,Operator,,operator,2490
flare,OperatorList,,operator,5248
flare,OperatorSequence,,operator,4190
flare,OperatorSwitch,,operator,2581
flare,SortOperator,,operator,2023
flare,Visualization,,vis,16540
