party;numeric_vote1;numeric_vote2;numeric_vote3;numeric_vote4;numeric_vote5;numeric_vote6;numeric_vote7;numeric_vote8;numeric_vote9;numeric_vote10;numeric_vote11;numeric_vote12;numeric_vote13;numeric_vote14;numeric_vote15;numeric_vote16;numeric_vote17;numeric_vote18;numeric_vote19;numeric_vote20;numeric_vote21;numeric_vote22;numeric_vote23;numeric_vote24;numeric_vote25;numeric_vote26;numeric_vote27;numeric_vote28;numeric_vote29;numeric_vote30;numeric_vote31;numeric_vote32;numeric_vote33;numeric_vote34;numeric_vote35;numeric_vote36;numeric_vote37;numeric_vote38;numeric_vote39;numeric_vote40;numeric_vote41;numeric_vote42;numeric_vote43;numeric_vote44;numeric_vote45;numeric_vote46;numeric_vote47;numeric_vote48;numeric_vote49;numeric_vote50;numeric_vote51;numeric_vote52;numeric_vote53;numeric_vote54;numeric_vote55;numeric_vote56;numeric_vote57;numeric_vote58;numeric_vote59;numeric_vote60;numeric_vote61;numeric_vote62;numeric_vote63;numeric_vote64;numeric_vote65;numeric_vote66;numeric_vote67;numeric_vote68;numeric_vote69;numeric_vote70;numeric_vote71;numeric_vote72;numeric_vote73;numeric_vote74;numeric_vote75;numeric_vote76;numeric_vote77;numeric_vote78;numeric_vote79;numeric_vote80;numeric_vote81;numeric_vote82;numeric_vote83;numeric_vote84;numeric_vote85;numeric_vote86;numeric_vote87;numeric_vote88;numeric_vote89;numeric_vote90;numeric_vote91;numeric_vote92;numeric_vote93;numeric_vote94;numeric_vote95;numeric_vote96;numeric_vote97;numeric_vote98;numeric_vote99;numeric_vote100;numeric_vote101;numeric_vote102;numeric_vote103;numeric_vote104;numeric_vote105;numeric_vote106;numeric_vote107;numeric_vote108;numeric_vote109;numeric_vote110;numeric_vote111;numeric_vote112;numeric_vote113;numeric_vote114;numeric_vote115;numeric_vote116;numeric_vote117;numeric_vote118;numeric_vote119;numeric_vote120;numeric_vote121;numeric_vote122;numeric_vote123;numeric_vote124;numeric_vote125;numeric_vote126;numeric_vote127;numeric_vote128;numeric_vote129;numeric_vote130;numeric_vote131;numeric_vote132;numeric_vote133;numeric_vote134;numeric_vote135;numeric_vote136;numeric_vote137;numeric_vote138;numeric_vote139;numeric_vote140;numeric_vote141;numeric_vote142;numeric_vote143;numeric_vote144;numeric_vote145;numeric_vote146;numeric_vote147;numeric_vote148;numeric_vote149;numeric_vote150;numeric_vote151;numeric_vote152;numeric_vote153;numeric_vote154;numeric_vote155;numeric_vote156;numeric_vote157;numeric_vote158;numeric_vote159;numeric_vote160;numeric_vote161;numeric_vote162;numeric_vote163;numeric_vote164;numeric_vote165;numeric_vote166;numeric_vote167;numeric_vote168;numeric_vote169;numeric_vote170;numeric_vote171;numeric_vote172;numeric_vote173;numeric_vote174;numeric_vote175;numeric_vote176;numeric_vote177;numeric_vote178;numeric_vote179;numeric_vote180;numeric_vote181;numeric_vote182;numeric_vote183;numeric_vote184;numeric_vote185;numeric_vote186;numeric_vote187;numeric_vote188;numeric_vote189;numeric_vote190;numeric_vote191;numeric_vote192;numeric_vote193;numeric_vote194;numeric_vote195;numeric_vote196;numeric_vote197;numeric_vote198;numeric_vote199;numeric_vote200;numeric_vote201;numeric_vote202;numeric_vote203;numeric_vote204;numeric_vote205;numeric_vote206;numeric_vote207;numeric_vote208;numeric_vote209;numeric_vote210;numeric_vote211;numeric_vote212;numeric_vote213;numeric_vote214;numeric_vote215;numeric_vote216;numeric_vote217;numeric_vote218;numeric_vote219;numeric_vote220;numeric_vote221;numeric_vote222;numeric_vote223;numeric_vote224;numeric_vote225;numeric_vote226;numeric_vote227;numeric_vote228;numeric_vote229;numeric_vote230;numeric_vote231;numeric_vote232;numeric_vote233;numeric_vote234;numeric_vote235;numeric_vote236;numeric_vote237;numeric_vote238;numeric_vote239;numeric_vote240;numeric_vote241;numeric_vote242;numeric_vote243;numeric_vote244;numeric_vote245;numeric_vote246;numeric_vote247;numeric_vote248;numeric_vote249;numeric_vote250;numeric_vote251;numeric_vote252;numeric_vote253;numeric_vote254;numeric_vote255;numeric_vote256;numeric_vote257;numeric_vote258;numeric_vote259;numeric_vote260;numeric_vote261;numeric_vote262;numeric_vote263;numeric_vote264;numeric_vote265;numeric_vote266;numeric_vote267;numeric_vote268;numeric_vote269;numeric_vote270;numeric_vote271;numeric_vote272;numeric_vote273;numeric_vote274;numeric_vote275;numeric_vote276;numeric_vote277;numeric_vote278;numeric_vote279;numeric_vote280;numeric_vote281;numeric_vote282;numeric_vote283;numeric_vote284;numeric_vote285;numeric_vote286;numeric_vote287;numeric_vote288;numeric_vote289;numeric_vote290;numeric_vote291;numeric_vote292;numeric_vote293;numeric_vote294;numeric_vote295;numeric_vote296;numeric_vote297;numeric_vote298;numeric_vote299;numeric_vote300;numeric_vote301;numeric_vote302;numeric_vote303;numeric_vote304;numeric_vote305;numeric_vote306;numeric_vote307;numeric_vote308;numeric_vote309;numeric_vote310;numeric_vote311;numeric_vote312;numeric_vote313;numeric_vote314;numeric_vote315;numeric_vote316;numeric_vote317;numeric_vote318;numeric_vote319;numeric_vote320;numeric_vote321;numeric_vote322;numeric_vote323;numeric_vote324;numeric_vote325;numeric_vote326;numeric_vote327;numeric_vote328;numeric_vote329;numeric_vote330;numeric_vote331;numeric_vote332;numeric_vote333;numeric_vote334;numeric_vote335;numeric_vote336;numeric_vote337;numeric_vote338;numeric_vote339;numeric_vote340;numeric_vote341;numeric_vote342;numeric_vote343;numeric_vote344;numeric_vote345;numeric_vote346;numeric_vote347;numeric_vote348;numeric_vote349;numeric_vote350;numeric_vote351;numeric_vote352;numeric_vote353;numeric_vote354;numeric_vote355;numeric_vote356;numeric_vote357;numeric_vote358;numeric_vote359;numeric_vote360;numeric_vote361;numeric_vote362;numeric_vote363;numeric_vote364;numeric_vote365;numeric_vote366;numeric_vote367;numeric_vote368;numeric_vote369;numeric_vote370;numeric_vote371;numeric_vote372;numeric_vote373;numeric_vote374;numeric_vote375;numeric_vote376;numeric_vote377;numeric_vote378;numeric_vote379;numeric_vote380;numeric_vote381;numeric_vote382;numeric_vote383;numeric_vote384;numeric_vote385;numeric_vote386;numeric_vote387;numeric_vote388;numeric_vote389;numeric_vote390;numeric_vote391;numeric_vote392;numeric_vote393;numeric_vote394;numeric_vote395;numeric_vote396;numeric_vote397;numeric_vote398;numeric_vote399;numeric_vote400;numeric_vote401;numeric_vote402;numeric_vote403;numeric_vote404;numeric_vote405;numeric_vote406;numeric_vote407;numeric_vote408;numeric_vote409;numeric_vote410;numeric_vote411;numeric_vote412;numeric_vote413;numeric_vote414;numeric_vote415;numeric_vote416;numeric_vote417;numeric_vote418;numeric_vote419;numeric_vote420;numeric_vote421;numeric_vote422;numeric_vote423;numeric_vote424;numeric_vote425;numeric_vote426;numeric_vote427;numeric_vote428;numeric_vote429;numeric_vote430;numeric_vote431;numeric_vote432;numeric_vote433;numeric_vote434;numeric_vote435;numeric_vote436;numeric_vote437;numeric_vote438;numeric_vote439;numeric_vote440;numeric_vote441;numeric_vote442;numeric_vote443;numeric_vote444;numeric_vote445;numeric_vote446;numeric_vote447;numeric_vote448;numeric_vote449;numeric_vote450;numeric_vote451;numeric_vote452;numeric_vote453;numeric_vote454;numeric_vote455;numeric_vote456;numeric_vote457;numeric_vote458;numeric_vote459;numeric_vote460;numeric_vote461;numeric_vote462;numeric_vote463;numeric_vote464;numeric_vote465;numeric_vote466;numeric_vote467;numeric_vote468;numeric_vote469;numeric_vote470;numeric_vote471;numeric_vote472;numeric_vote473;numeric_vote474;numeric_vote475;numeric_vote476;numeric_vote477;numeric_vote478;numeric_vote479;numeric_vote480;numeric_vote481;numeric_vote482;numeric_vote483;numeric_vote484;numeric_vote485;numeric_vote486;numeric_vote487;numeric_vote488;numeric_vote489;numeric_vote490;numeric_vote491;numeric_vote492;numeric_vote493;numeric_vote494;numeric_vote495;numeric_vote496;numeric_vote497;numeric_vote498;numeric_vote499;numeric_vote500;numeric_vote501;numeric_vote502;numeric_vote503;numeric_vote504;numeric_vote505;numeric_vote506;numeric_vote507;numeric_vote508;numeric_vote509;numeric_vote510;numeric_vote511;numeric_vote512;numeric_vote513;numeric_vote514;numeric_vote515;numeric_vote516;numeric_vote517;numeric_vote518;numeric_vote519;numeric_vote520;numeric_vote521;numeric_vote522;numeric_vote523;numeric_vote524;numeric_vote525;numeric_vote526;numeric_vote527;numeric_vote528;numeric_vote529;numeric_vote530;numeric_vote531;numeric_vote532;numeric_vote533;numeric_vote534;numeric_vote535;numeric_vote536;numeric_vote537;numeric_vote538;numeric_vote539;numeric_vote540;numeric_vote541;numeric_vote542;numeric_vote543;numeric_vote544;numeric_vote545;numeric_vote546;numeric_vote547;numeric_vote548;numeric_vote549;numeric_vote550;numeric_vote551;numeric_vote552;numeric_vote553;numeric_vote554;numeric_vote555;numeric_vote556;numeric_vote557;numeric_vote558;numeric_vote559;numeric_vote560;numeric_vote561;numeric_vote562;numeric_vote563;numeric_vote564;numeric_vote565;numeric_vote566;numeric_vote567;numeric_vote568;numeric_vote569;numeric_vote570;numeric_vote571;numeric_vote572;numeric_vote573;numeric_vote574;numeric_vote575;numeric_vote576;numeric_vote577;numeric_vote578;numeric_vote579;numeric_vote580;numeric_vote581;numeric_vote582;numeric_vote583;numeric_vote584;numeric_vote585;numeric_vote586;numeric_vote587;numeric_vote588;numeric_vote589;numeric_vote590;numeric_vote591;numeric_vote592;numeric_vote593;numeric_vote594;numeric_vote595;numeric_vote596;numeric_vote597;numeric_vote598;numeric_vote599;numeric_vote600;numeric_vote601;numeric_vote602;numeric_vote603;numeric_vote604;numeric_vote605;numeric_vote606;numeric_vote607;numeric_vote608;numeric_vote609;numeric_vote610;numeric_vote611;numeric_vote612;numeric_vote613;numeric_vote614;numeric_vote615;numeric_vote616;numeric_vote617;numeric_vote618;numeric_vote619;numeric_vote620;numeric_vote621;numeric_vote622;numeric_vote623;numeric_vote624;numeric_vote625;numeric_vote626;numeric_vote627;numeric_vote628;numeric_vote629;numeric_vote630;numeric_vote631;numeric_vote632;numeric_vote633;numeric_vote634;numeric_vote635;numeric_vote636;numeric_vote637;numeric_vote638;numeric_vote639;numeric_vote640;numeric_vote641;numeric_vote642;numeric_vote643;numeric_vote644;numeric_vote645;numeric_vote646;numeric_vote647;numeric_vote648;numeric_vote649;numeric_vote650;numeric_vote651;numeric_vote652;numeric_vote653;numeric_vote654;numeric_vote655;numeric_vote656;numeric_vote657;numeric_vote658;numeric_vote659;numeric_vote660
D;0;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;-1;-1;1;1;1;1;1;-1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;-1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;-1;1;1;1;1;1;1;1;1;-1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;1;-1;1;1;1;0;1;0;0;1;1;1;1;-1;1;1;1;1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;-1;1;1;1;1;1;1;-1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;-1;1;-1;1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;0;-1;1;1;1;1;1;1;-1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;-1;1;1;1;1;1;1;1;-1;1;1;1;1;0;0;0;0;0;1;1;1;1
R;0;1;1;1;1;1;1;1;-1;-1;1;-1;-1;-1;1;1;1;1;1;-1;1;1;-1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;1;1;-1;-1;-1;1;1;1;1;1;-1;1;1;-1;1;1;1;-1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;-1;1;1;-1;1;1;-1;1;1;0;1;1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;-1;-1;1;-1;1;1;1;-1;-1;1;1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;1;-1;-1;1;1;1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;1;-1;1;1;-1;1;-1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;0;0;1;1;-1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;-1;-1;-1;0;1;-1;-1;-1;-1;-1;1;0;1;1;1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;1;1;1;1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;1;1;1;-1;-1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;-1;-1;1;1;-1;1;1;1;1;-1;1;1;1;-1;-1;0;1;1;0;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;1;1;-1;-1;-1;-1;1;1;1;1;-1;1;1;-1;-1;-1;0;-1;-1;-1;1;1;1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;-1;0;0;-1;1;-1;1;-1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;1;1;-1;1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;1;1;-1;1;1;-1;-1;1;1;1;1;1;-1;-1;1;-1;1;1;1;1;-1;1;1;1;-1;-1;1;1;-1;1;1;-1;-1;0;-1;1;1;1;-1;1;1;1;1;1;-1;1;1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1
D;0;-1;1;1;0;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;-1;-1;1;1;1;1;1;0;0;1;1;1;1;-1;1;1;1;1;-1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;-1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;-1;-1;-1;1;1;1;1;1;0;-1;1;1;1;1;1;-1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;-1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
R;0;1;1;1;1;1;1;1;-1;0;0;-1;-1;-1;1;1;0;0;0;-1;1;1;-1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;1;1;-1;-1;-1;1;1;1;-1;1;-1;1;1;-1;-1;1;1;-1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;-1;-1;-1;-1;1;-1;1;1;-1;1;1;-1;1;0;0;1;1;1;1;0;1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;1;-1;-1;1;1;1;0;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;1;1;1;-1;-1;1;-1;1;1;-1;1;-1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;-1;-1;-1;1;1;-1;-1;0;-1;1;1;-1;1;1;1;1;1;-1;-1;1;-1;1;0;1;-1;1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;0;1;1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;1;1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;-1;1;1;1;1;1;-1;1;1;1;1;0;1;1;1;-1;-1;1;1;-1;1;1;1;1;-1;-1;1;1;1;1;1;-1;1;1;1;1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;-1;-1;1;1;-1;0;1;1;1;-1;1;1;1;-1;-1;0;1;-1;0;-1;1;-1;-1;-1;-1;0;0;0;-1;-1;1;1;-1;1;-1;1;1;1;-1;0;0;0;1;1;1;1;-1;1;1;-1;1;1;-1;1;-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;1;1;1;1;1;-1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;1;1;-1;1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;1;1;-1;1;1;-1;-1;1;1;1;1;1;-1;-1;1;-1;1;1;1;1;-1;1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;1;1;1;1;-1;0;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1
R;0;1;1;1;0;0;0;0;-1;-1;1;-1;-1;-1;1;1;0;0;0;-1;1;1;-1;1;1;1;1;1;-1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;1;1;-1;-1;-1;1;1;1;1;1;-1;1;1;-1;1;1;1;-1;1;1;1;1;-1;1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;1;1;1;-1;1;1;-1;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;-1;1;1;1;1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;1;1;-1;-1;1;1;1;1;0;-1;1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;1;-1;1;1;-1;1;-1;1;-1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;1;1;1;1;-1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;1;1;-1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;0;1;1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;1;1;1;-1;-1;0;1;1;1;1;-1;0;0;0;1;1;1;1;1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;0;-1;1;1;-1;1;1;1;1;-1;1;1;0;0;0;0;1;1;0;-1;1;-1;-1;-1;-1;0;0;0;-1;-1;1;1;-1;1;-1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;-1;1;-1;1;-1;-1;0;1;1;-1;1;1;-1;1;1;-1;1;1;1;1;1;1;-1;-1;-1;-1;1;1;1;1;-1;1;1;1;1;1;1;1;-1;-1;1;1;1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;1;1;-1;-1;1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;1;0;-1;-1;-1;1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;1;-1;-1;1;1;0;1;1;1;1;-1;1;1;1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;0;0;0;0;0;0;-1;1;1;0;-1;1;1;1;1;1;-1;-1;1;-1;1;1;1;1;-1;1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;1;1;1;-1;1;1;1;1;1;-1;1;1;-1;-1;1;1;1;-1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;-1;0;-1;-1;-1;-1
